event,type,time,stamp,data0,data1,data2
58,com.google.wear.sensor.ppg,2022-11-06T00:49:35.613,3470209451717,9637939.0,2.974612E7,0.0
59,com.google.wear.sensor.ppg,2022-11-06T00:49:35.615,3470219390034,9640880.0,2.974204E7,0.0
60,com.google.wear.sensor.ppg,2022-11-06T00:49:35.617,3470229328351,9640739.0,2.9745302E7,0.0
61,com.google.wear.sensor.ppg,2022-11-06T00:49:35.619,3470239266668,9639192.0,2.9749264E7,0.0
62,com.google.wear.sensor.ppg,2022-11-06T00:49:35.620,3470249204985,9637542.0,2.9739798E7,0.0
63,com.google.wear.sensor.ppg,2022-11-06T00:49:35.621,3470259143302,9639315.0,2.9749004E7,0.0
64,com.google.wear.sensor.ppg,2022-11-06T00:49:35.792,3470269081638,9644359.0,2.975314E7,0.0
65,com.google.wear.sensor.ppg,2022-11-06T00:49:35.794,3470279017049,9641426.0,2.9747748E7,0.0
66,com.google.wear.sensor.ppg,2022-11-06T00:49:35.796,3470288952460,9641710.0,2.9746292E7,0.0
67,com.google.wear.sensor.ppg,2022-11-06T00:49:35.797,3470298887871,9641408.0,2.9754362E7,0.0
68,com.google.wear.sensor.ppg,2022-11-06T00:49:35.799,3470308823282,9642021.0,2.9753284E7,0.0
69,com.google.wear.sensor.ppg,2022-11-06T00:49:35.801,3470318758693,9640917.0,2.9737992E7,0.0
70,com.google.wear.sensor.ppg,2022-11-06T00:49:35.802,3470328694104,9642670.0,2.973942E7,0.0
71,com.google.wear.sensor.ppg,2022-11-06T00:49:35.803,3470338629515,9641369.0,2.9732956E7,0.0
72,com.google.wear.sensor.ppg,2022-11-06T00:49:35.805,3470348564926,9642445.0,2.9738836E7,0.0
73,com.google.wear.sensor.ppg,2022-11-06T00:49:35.807,3470358500337,9638863.0,2.976712E7,0.0
74,com.google.wear.sensor.ppg,2022-11-06T00:49:35.808,3470368435748,9641219.0,2.9747548E7,0.0
75,com.google.wear.sensor.ppg,2022-11-06T00:49:35.809,3470378371159,9641322.0,2.974708E7,0.0
76,com.google.wear.sensor.ppg,2022-11-06T00:49:35.810,3470388306570,9640814.0,2.9742828E7,0.0
77,com.google.wear.sensor.ppg,2022-11-06T00:49:35.812,3470398241981,9640644.0,2.9753256E7,0.0
78,com.google.wear.sensor.ppg,2022-11-06T00:49:35.813,3470408177392,9641134.0,2.9753722E7,0.0
79,com.google.wear.sensor.ppg,2022-11-06T00:49:35.815,3470418112803,9639833.0,2.9749556E7,0.0
80,com.google.wear.sensor.ppg,2022-11-06T00:49:35.817,3470428048214,9640823.0,2.9747808E7,0.0
81,com.google.wear.sensor.ppg,2022-11-06T00:49:35.819,3470437983625,9640201.0,2.9754478E7,0.0
82,com.google.wear.sensor.ppg,2022-11-06T00:49:35.820,3470447919036,9637458.0,2.9744896E7,0.0
83,com.google.wear.sensor.ppg,2022-11-06T00:49:35.822,3470457854447,9638532.0,2.9743496E7,0.0
84,com.google.wear.sensor.ppg,2022-11-06T00:49:35.825,3470467789858,9637325.0,2.9744312E7,0.0
85,com.google.wear.sensor.ppg,2022-11-06T00:49:36.001,3470477725271,9635846.0,2.9767324E7,0.0
86,com.google.wear.sensor.ppg,2022-11-06T00:49:36.002,3470487663588,9638288.0,2.976246E7,0.0
87,com.google.wear.sensor.ppg,2022-11-06T00:49:36.004,3470497601905,9644791.0,2.9754184E7,0.0
88,com.google.wear.sensor.ppg,2022-11-06T00:49:36.005,3470507540222,9640984.0,2.9757974E7,0.0
89,com.google.wear.sensor.ppg,2022-11-06T00:49:36.007,3470517478539,9642342.0,2.9758936E7,0.0
90,com.google.wear.sensor.ppg,2022-11-06T00:49:36.008,3470527416856,9639174.0,2.9749672E7,0.0
91,com.google.wear.sensor.ppg,2022-11-06T00:49:36.010,3470537355173,9643340.0,2.9745362E7,0.0
92,com.google.wear.sensor.ppg,2022-11-06T00:49:36.012,3470547293490,9639325.0,2.975707E7,0.0
93,com.google.wear.sensor.ppg,2022-11-06T00:49:36.014,3470557231807,9640041.0,2.9753924E7,0.0
94,com.google.wear.sensor.ppg,2022-11-06T00:49:36.016,3470567170124,9641935.0,2.9753022E7,0.0
95,com.google.wear.sensor.ppg,2022-11-06T00:49:36.017,3470577108441,9641313.0,2.9752264E7,0.0
96,com.google.wear.sensor.ppg,2022-11-06T00:49:36.019,3470587046758,9644085.0,2.9755148E7,0.0
97,com.google.wear.sensor.ppg,2022-11-06T00:49:36.020,3470596985075,9641616.0,2.9758264E7,0.0
98,com.google.wear.sensor.ppg,2022-11-06T00:49:36.022,3470606923392,9639900.0,2.9755208E7,0.0
99,com.google.wear.sensor.ppg,2022-11-06T00:49:36.023,3470616861709,9634752.0,2.9752962E7,0.0
100,com.google.wear.sensor.ppg,2022-11-06T00:49:36.027,3470626800026,9643698.0,2.9752088E7,0.0
101,com.google.wear.sensor.ppg,2022-11-06T00:49:36.091,3470636738343,9641446.0,2.974673E7,0.0
102,com.google.wear.sensor.ppg,2022-11-06T00:49:36.092,3470646676660,9641823.0,2.9745564E7,0.0
103,com.google.wear.sensor.ppg,2022-11-06T00:49:36.093,3470656614977,9642868.0,2.9746584E7,0.0
104,com.google.wear.sensor.ppg,2022-11-06T00:49:36.094,3470666553294,9641616.0,2.975308E7,0.0
105,com.google.wear.sensor.ppg,2022-11-06T00:49:36.094,3470676491611,9643349.0,2.9759664E7,0.0
106,com.google.wear.sensor.ppg,2022-11-06T00:49:36.211,3470686483273,9647026.0,2.975276E7,0.0
107,com.google.wear.sensor.ppg,2022-11-06T00:49:36.213,3470696417230,9643302.0,2.9751828E7,0.0
108,com.google.wear.sensor.ppg,2022-11-06T00:49:36.215,3470706351187,9643265.0,2.976246E7,0.0
109,com.google.wear.sensor.ppg,2022-11-06T00:49:36.216,3470716285144,9640389.0,2.974874E7,0.0
110,com.google.wear.sensor.ppg,2022-11-06T00:49:36.217,3470726219101,9641228.0,2.9745768E7,0.0
111,com.google.wear.sensor.ppg,2022-11-06T00:49:36.218,3470736153058,9641880.0,2.974673E7,0.0
112,com.google.wear.sensor.ppg,2022-11-06T00:49:36.219,3470746087015,9637683.0,2.975378E7,0.0
113,com.google.wear.sensor.ppg,2022-11-06T00:49:36.220,3470756020972,9641021.0,2.9734178E7,0.0
114,com.google.wear.sensor.ppg,2022-11-06T00:49:36.221,3470765954929,9642350.0,2.9749992E7,0.0
115,com.google.wear.sensor.ppg,2022-11-06T00:49:36.222,3470775888886,9642747.0,2.9743118E7,0.0
116,com.google.wear.sensor.ppg,2022-11-06T00:49:36.223,3470785822843,9639957.0,2.9753722E7,0.0
117,com.google.wear.sensor.ppg,2022-11-06T00:49:36.225,3470795756800,9638505.0,2.975206E7,0.0
118,com.google.wear.sensor.ppg,2022-11-06T00:49:36.226,3470805690757,9639663.0,2.9748158E7,0.0
119,com.google.wear.sensor.ppg,2022-11-06T00:49:36.228,3470815624714,9641238.0,2.974932E7,0.0
120,com.google.wear.sensor.ppg,2022-11-06T00:49:36.229,3470825558671,9637552.0,2.97444E7,0.0
121,com.google.wear.sensor.ppg,2022-11-06T00:49:36.230,3470835492628,9639663.0,2.9746352E7,0.0
122,com.google.wear.sensor.ppg,2022-11-06T00:49:36.231,3470845426585,9638617.0,2.9738924E7,0.0
123,com.google.wear.sensor.ppg,2022-11-06T00:49:36.233,3470855360542,9640626.0,2.9747518E7,0.0
124,com.google.wear.sensor.ppg,2022-11-06T00:49:36.235,3470865294499,9641860.0,2.9733478E7,0.0
125,com.google.wear.sensor.ppg,2022-11-06T00:49:36.236,3470875228456,9642860.0,2.9756546E7,0.0
126,com.google.wear.sensor.ppg,2022-11-06T00:49:36.238,3470885162413,9638749.0,2.9747052E7,0.0
127,com.google.wear.sensor.ppg,2022-11-06T00:49:36.416,3470895096385,9640135.0,2.9741632E7,0.0
128,com.google.wear.sensor.ppg,2022-11-06T00:49:36.417,3470905028890,9640371.0,2.975378E7,0.0
129,com.google.wear.sensor.ppg,2022-11-06T00:49:36.418,3470914961395,9644359.0,2.9736012E7,0.0
130,com.google.wear.sensor.ppg,2022-11-06T00:49:36.419,3470924893900,9644075.0,2.9753196E7,0.0
131,com.google.wear.sensor.ppg,2022-11-06T00:49:36.420,3470934826405,9641813.0,2.9754596E7,0.0
132,com.google.wear.sensor.ppg,2022-11-06T00:49:36.420,3470944758910,9640172.0,2.9751188E7,0.0
133,com.google.wear.sensor.ppg,2022-11-06T00:49:36.421,3470954691415,9640409.0,2.9759372E7,0.0
134,com.google.wear.sensor.ppg,2022-11-06T00:49:36.422,3470964623920,9640898.0,2.9749788E7,0.0
135,com.google.wear.sensor.ppg,2022-11-06T00:49:36.424,3470974556425,9642982.0,2.9750254E7,0.0
136,com.google.wear.sensor.ppg,2022-11-06T00:49:36.425,3470984488930,9643962.0,2.9757186E7,0.0
137,com.google.wear.sensor.ppg,2022-11-06T00:49:36.426,3470994421435,9640870.0,2.9753604E7,0.0
138,com.google.wear.sensor.ppg,2022-11-06T00:49:36.428,3471004353940,9645226.0,2.975206E7,0.0
139,com.google.wear.sensor.ppg,2022-11-06T00:49:36.429,3471014286445,9641520.0,2.9754274E7,0.0
140,com.google.wear.sensor.ppg,2022-11-06T00:49:36.430,3471024218950,9639080.0,2.9754302E7,0.0
141,com.google.wear.sensor.ppg,2022-11-06T00:49:36.431,3471034151455,9643557.0,2.975972E7,0.0
142,com.google.wear.sensor.ppg,2022-11-06T00:49:36.435,3471044083945,9640635.0,2.9748098E7,0.0
143,com.google.wear.sensor.ppg,2022-11-06T00:49:36.437,3471054016450,9641512.0,2.9758498E7,0.0
144,com.google.wear.sensor.ppg,2022-11-06T00:49:36.437,3471063948955,9640446.0,2.9760216E7,0.0
145,com.google.wear.sensor.ppg,2022-11-06T00:49:36.438,3471073881460,9642021.0,2.9755062E7,0.0
146,com.google.wear.sensor.ppg,2022-11-06T00:49:36.439,3471083813965,9642436.0,2.9749204E7,0.0
147,com.google.wear.sensor.ppg,2022-11-06T00:49:36.440,3471093746470,9640739.0,2.9731904E7,0.0
148,com.google.wear.sensor.ppg,2022-11-06T00:49:36.630,3471103678975,9645470.0,2.974871E7,0.0
149,com.google.wear.sensor.ppg,2022-11-06T00:49:36.631,3471113617292,9636392.0,2.9747548E7,0.0
150,com.google.wear.sensor.ppg,2022-11-06T00:49:36.634,3471123555609,9638033.0,2.9751624E7,0.0
151,com.google.wear.sensor.ppg,2022-11-06T00:49:36.635,3471133493926,9641436.0,2.973706E7,0.0
152,com.google.wear.sensor.ppg,2022-11-06T00:49:36.636,3471143432243,9643179.0,2.9745128E7,0.0
153,com.google.wear.sensor.ppg,2022-11-06T00:49:36.637,3471153370560,9645668.0,2.9751856E7,0.0
154,com.google.wear.sensor.ppg,2022-11-06T00:49:36.637,3471163308877,9645302.0,2.9754828E7,0.0
155,com.google.wear.sensor.ppg,2022-11-06T00:49:36.638,3471173247194,9643482.0,2.9763128E7,0.0
156,com.google.wear.sensor.ppg,2022-11-06T00:49:36.639,3471183185511,9641690.0,2.9738196E7,0.0
157,com.google.wear.sensor.ppg,2022-11-06T00:49:36.640,3471193123828,9646196.0,2.975614E7,0.0
158,com.google.wear.sensor.ppg,2022-11-06T00:49:36.641,3471203062145,9641559.0,2.9755612E7,0.0
159,com.google.wear.sensor.ppg,2022-11-06T00:49:36.641,3471213000462,9640268.0,2.976141E7,0.0
160,com.google.wear.sensor.ppg,2022-11-06T00:49:36.642,3471222938779,9639974.0,2.9742448E7,0.0
161,com.google.wear.sensor.ppg,2022-11-06T00:49:36.643,3471232877096,9642256.0,2.9767936E7,0.0
162,com.google.wear.sensor.ppg,2022-11-06T00:49:36.644,3471242815413,9647055.0,2.97691E7,0.0
163,com.google.wear.sensor.ppg,2022-11-06T00:49:36.645,3471252753730,9642700.0,2.9744224E7,0.0
164,com.google.wear.sensor.ppg,2022-11-06T00:49:36.647,3471262692047,9640579.0,2.9743E7,0.0
165,com.google.wear.sensor.ppg,2022-11-06T00:49:36.648,3471272630364,9642209.0,2.974172E7,0.0
166,com.google.wear.sensor.ppg,2022-11-06T00:49:36.650,3471282568681,9641266.0,2.9753808E7,0.0
167,com.google.wear.sensor.ppg,2022-11-06T00:49:36.651,3471292506998,9643132.0,2.975544E7,0.0
168,com.google.wear.sensor.ppg,2022-11-06T00:49:36.652,3471302445315,9638306.0,2.9755906E7,0.0
169,com.google.wear.sensor.ppg,2022-11-06T00:49:36.838,3471312383651,9648554.0,2.9760536E7,0.0
170,com.google.wear.sensor.ppg,2022-11-06T00:49:36.839,3471322316156,9645734.0,2.9751216E7,0.0
171,com.google.wear.sensor.ppg,2022-11-06T00:49:36.841,3471332248661,9646904.0,2.975614E7,0.0
172,com.google.wear.sensor.ppg,2022-11-06T00:49:36.842,3471342181166,9641455.0,2.9754828E7,0.0
173,com.google.wear.sensor.ppg,2022-11-06T00:49:36.844,3471352113671,9637967.0,2.9752206E7,0.0
174,com.google.wear.sensor.ppg,2022-11-06T00:49:36.844,3471362046176,9644727.0,2.976275E7,0.0
175,com.google.wear.sensor.ppg,2022-11-06T00:49:36.846,3471371978681,9641399.0,2.9752934E7,0.0
176,com.google.wear.sensor.ppg,2022-11-06T00:49:36.846,3471381911186,9641483.0,2.975768E7,0.0
177,com.google.wear.sensor.ppg,2022-11-06T00:49:36.847,3471391843691,9642888.0,2.9746936E7,0.0
178,com.google.wear.sensor.ppg,2022-11-06T00:49:36.848,3471401776196,9640418.0,2.9746818E7,0.0
179,com.google.wear.sensor.ppg,2022-11-06T00:49:36.849,3471411708701,9643981.0,2.9747312E7,0.0
180,com.google.wear.sensor.ppg,2022-11-06T00:49:36.849,3471421641206,9644991.0,2.9742072E7,0.0
181,com.google.wear.sensor.ppg,2022-11-06T00:49:36.850,3471431573711,9641154.0,2.9765952E7,0.0
